id,text,place,time
1014264776397082624,"Want to know what's going on w/ algae here in the central basin of #LakeErie? 
long thread ahead...
Story here --&gt; https://t.co/wJBU8ExMwN","Cleveland, OH",Tue Jul 03 21:49:01 +0000 2018
1014264781371527169,"It's actually not the first time (see 2013,2015)...and it's not microcystis that's in the central basin, its actual… https://t.co/DBGW265YDh","Cleveland, OH",Tue Jul 03 21:49:02 +0000 2018
1014264778620104704,.@NOAA's HAB bulletin yesterday mentioned that a cyanobacteria bloom has been identified here in the central basin.… https://t.co/boaJGnAEV9,"Cleveland, OH",Tue Jul 03 21:49:02 +0000 2018
1014267563562405888,"Your favorite Oregon lake may have a history of toxic algae. Find out below! 
https://t.co/0jNC2nqJtd",Oregon,Tue Jul 03 22:00:05 +0000 2018
1014268171275112448,Algae bloom taking shape in western Lake Erie https://t.co/bnerafWdRI - @greatlakestoday,"Toledo, Ohio",Tue Jul 03 22:02:30 +0000 2018
1014268738672185349,RT @WorldAndScience: Could cyanobacteria help to terraform mars? https://t.co/nTl1yodGNU,Sweden,Tue Jul 03 22:04:46 +0000 2018
1014268819374837761,https://t.co/jjZ5F13WWP,Brooklyn,Tue Jul 03 22:05:05 +0000 2018
1014269031979810817,RT @james_reavil: Had a very sad call from a friend this morning. Their dog had to be put to sleep after swimming yesterday at Bewl Water i…,00,Tue Jul 03 22:05:56 +0000 2018
1014269066947641345,[PNAS] Structural and functional insights into the unique CBS-CP12 fusion protein family in cyanobacteria [Plant Bi… https://t.co/nfRYG2yvbK,,Tue Jul 03 22:06:04 +0000 2018
1014269353330606080,"RT @llmiller12: Want to know what's going on w/ algae here in the central basin of #LakeErie? 
long thread ahead...
Story here --&gt; https://…",00,Tue Jul 03 22:07:12 +0000 2018
1014269416060719104,"""Blame is abundant: over development, poor planning, bad design, intractable politics, the governor, the Legislatur… https://t.co/MRKclzED2n",,Tue Jul 03 22:07:27 +0000 2018
1014269709968175104,"RT @JohnMoralesNBC6: ""Blame is abundant: over development, poor planning, bad design, intractable politics, the governor, the Legislature,…","Cleveland, Ohio",Tue Jul 03 22:08:37 +0000 2018
1014269922480975872,RT @AndyMarlette: #Florida cartoon: The toxic algae is back... #Sayfie #FlaPol https://t.co/u0tZgYnvC7,Miami Florida USA,Tue Jul 03 22:09:28 +0000 2018
1014275116409212928,RT @james_reavil: Had a very sad call from a friend this morning. Their dog had to be put to sleep after swimming yesterday at Bewl Water i…,00,Tue Jul 03 22:30:06 +0000 2018
1014275579389136897,"Salem water crisis: #Detroit Lake hit with 4th toxic algae advisory.

https://t.co/P4UmdhtgW0",,Tue Jul 03 22:31:57 +0000 2018
1014275929026117633,"RT @nywaterproject: Salem water crisis: #Detroit Lake hit with 4th toxic algae advisory.

https://t.co/P4UmdhtgW0",USA,Tue Jul 03 22:33:20 +0000 2018
1014275948500398085,@washingtonpost Didn't I see a short blub on the news regarding some toxic algae moving toward the southern coastli… https://t.co/jGrbHpcvCe,00,Tue Jul 03 22:33:25 +0000 2018
1014276079182200832,"Brian Mast's 'Tortured Coast' focuses on Lake Okeechobee discharges, toxic algae blooms https://t.co/LwrAZvAYxQ https://t.co/WkWG7c9TT4",,Tue Jul 03 22:33:56 +0000 2018
